Date,AAD.DE,ADS.DE,ADV.DE,AFX.DE,AIR.DE,ALV.DE,ARL.DE,BAS.DE,BAYN.DE,BC8.DE,BDT.DE,BEI.DE,BMW.DE,BOSS.DE,BVB.DE,BYW6.DE,CBK.DE,COK.DE,COM.DE,CON.DE,DAI.DE,DB1.DE,DBK.DE,DEQ.DE,DEZ.DE,DLG.DE,DPW.DE,DRI.DE,DTE.DE,DUE.DE,EOAN.DE,EVD.DE,EVT.DE,FIE.DE,FME.DE,FNTN.DE,FRA.DE,FRE.DE,G1A.DE,GBF.DE,GFT.DE,GIL.DE,GLJ.DE,GMM.DE,GSC1.DE,HEI.DE,HEN3.DE,HNR1.DE,HOT.DE,IFX.DE,INH.DE,JEN.DE,JUN3.DE,KRN.DE,KU2.DE,LEO.DE,LHA.DE,LIN.DE,LPK.DE,LXS.DE,MAN.DE,MLP.DE,MOR.DE,MRK.DE,MUV2.DE,NDA.DE,NEM.DE,PFV.DE,PUM.DE,QIA.DE,QSC.DE,RAA.DE,RHK.DE,RWE.DE,SAP.DE,SBS.DE,SDF.DE,SGL.DE,SIE.DE,SIX2.DE,SKB.DE,SPR.DE,SZG.DE,SZU.DE,TEG.DE,TKA.DE,TTK.DE,UTDI.DE
2017-01-30,5824,629433,324270,69603,131722,1342261,379433,1624805,1920584,92876,19803,337746,1538027,312190,191882,18773,9437467,73708,20272,471060,3099514,102484,9603479,151844,359370,424564,2533467,203013,6156570,256584,13393862,132249,875455,84490,538665,306322,140449,808019,314701,283604,215205,24256,32379,68946,6519,503590,383355,93361,47513,3312685,33817,109132,171719,69970,4863,162257,4906131,0,18353,289553,45048,112264,170221,238476,506596,102083,690762,39512,81020,469548,176317,5919,73965,4814915,1815240,7139,945360,488614,2336466,40960,40028,190130,200811,208864,321393,2407589,25809,337177
2017-01-31,7053,1333715,198868,63371,132610,1710878,335855,2483410,2859640,60428,19306,387965,2052243,297499,136837,10999,15593031,63612,65965,492096,4160165,109655,14032979,244720,933951,500380,4216202,148952,7848683,333676,14253887,112289,2571352,96853,731757,395925,185257,1281666,519434,190883,134133,30030,58395,93961,7791,469593,481944,151455,74661,4506189,34036,125968,103764,83126,15499,195326,4378302,0,37015,336419,62292,150306,164888,369942,585070,115112,686775,32598,67310,709688,191166,6826,152583,3927331,2460058,7989,1260365,451636,3598724,28534,52718,231809,230411,231915,367628,2611617,36868,421945
2017-02-01,9487,807251,202332,85137,128603,1291977,312004,2483034,1870991,96038,14353,282105,1352724,405031,71957,20099,13822842,70842,155978,652214,4015812,102373,14965497,213666,1085943,903389,2848317,153196,10879331,337800,12254469,61000,1325594,88055,832964,314113,241144,1088944,439024,121836,155320,29504,52368,140077,3200,588944,614605,104000,55199,4812830,34048,151305,119918,70878,7641,137079,3296162,0,15628,356625,51708,208467,121579,353186,610610,110532,280872,29265,56460,703559,146889,6349,92175,4362532,2332014,14408,927992,195178,6159519,35454,46838,342990,241247,257698,264652,1869968,33909,482402
2017-02-02,6943,466670,323491,54279,53252,951510,255282,1632446,1372514,53416,11018,302451,1294157,257691,96040,10435,11430052,142670,21868,509061,9187905,170963,28631586,201464,442375,541300,1688948,124953,7006478,182294,9721488,40947,524342,97446,528189,408809,185277,870622,558783,145387,96465,22937,27972,96276,4226,338026,536839,172927,68480,7318641,46419,211016,63448,54506,3965,104851,3362457,0,11176,344914,89818,142949,125634,263537,547777,116815,415977,12376,32240,891716,73615,5232,104291,3397995,2535752,11363,838281,462673,3488901,26410,65069,221819,578246,255082,241430,2235012,11218,525548
2017-02-03,8189,509997,678255,40705,60848,1034327,217560,2108247,1361887,53322,13055,265930,1084952,374544,78110,15992,10895198,123318,17780,1074932,4319994,56680,16501396,136663,332063,383412,1910504,244194,6085523,246230,13307893,60706,899803,91930,673017,414813,141509,871612,553271,124123,67898,37333,37965,78115,6646,591296,409691,160393,69888,5270316,24202,110315,135060,58286,15079,111807,2991854,0,53241,277452,45469,65379,88279,328280,611564,253837,220914,22950,39360,430099,136517,4879,63379,3169505,1791065,22245,849531,388889,1996056,24514,27107,235432,396333,252934,277637,1718685,17806,615407
2017-02-06,14573,965588,610027,41911,83542,1675926,253991,2383760,1969825,61666,43874,310415,1739679,350863,157499,26918,16758188,101338,31013,658989,4074818,133090,13810355,145070,220290,412247,2476691,277644,10222413,342238,10687733,67532,872537,120057,619076,494060,131719,1316686,834047,266760,112034,32876,21789,65579,8825,517806,473093,176275,70230,5985120,42554,130300,109441,75185,5498,239463,3480585,0,16618,390021,76673,258858,113915,367079,637668,427926,240096,43721,36580,456998,242142,4644,72239,3438341,2418074,18302,1959420,434346,2916862,70541,33070,158200,313956,294357,205813,1953801,42171,593581
2017-02-07,7970,578766,565917,67410,98987,1181084,271764,2242727,1703196,42704,21634,329842,1084469,360601,258087,31455,10813798,151586,29565,381068,3767313,142249,10955734,214364,324899,462849,1825729,200633,7760499,280450,6125955,64651,1438035,186196,533144,389050,153097,870053,1579590,166989,84176,42137,66138,92292,5270,522287,438987,175197,67182,4535070,38413,186493,128791,60404,7070,134875,2180560,0,395250,530584,49682,159592,100788,325867,1047688,209017,308406,58482,26600,534496,158907,5437,122179,3866371,1563609,17745,1012859,229869,2135635,29396,38742,138619,271227,149508,309181,2414256,40907,534181
2017-02-08,12662,480704,546152,39731,122339,1293333,238980,2387166,2101487,46594,20030,354167,1552697,193858,68988,19245,17169337,117004,37627,482633,3714044,87619,16256155,224335,536469,443067,2849707,170886,8972554,250364,9371655,41334,1351100,137476,588327,295417,244637,968636,1261747,271033,93056,25644,94947,134861,6866,463464,478946,147106,70916,4312484,30001,324675,88183,66861,4736,248152,6004292,0,101852,360445,57599,99400,64461,548056,650878,176608,221106,29274,50010,377206,187714,3860,99730,5678060,2341062,11248,1112430,277851,3043209,43202,39413,171561,234992,323832,254182,2243449,36114,472159
2017-02-09,24560,642175,761006,67781,114764,1394096,456576,2010088,2608040,48188,38637,481054,1786771,392935,61418,18799,25711340,379440,34909,340770,3982671,43907,10696468,145157,307996,348568,3129045,129693,9542375,206800,12535086,72184,976785,140463,601851,562215,459037,994134,809524,121383,85383,33279,65097,62317,12755,463760,540416,173477,95728,8850296,38603,469161,98272,70429,11658,190320,4633767,0,51146,334594,65163,104614,84169,354945,550693,301931,212298,23033,79650,389148,268316,5007,98658,5872236,1597555,16884,1002211,308255,2191416,32416,39342,147529,306244,476633,223439,4238612,22571,435422
2017-02-10,14198,473664,800835,115843,93651,1029765,232518,1481949,1460989,70502,16718,447747,1225759,477256,83885,9292,15616240,320728,23560,326098,3303073,43619,9377818,315968,298731,271002,2052738,333187,7409204,179766,7274426,70863,2535381,238034,685231,681193,364782,820437,671790,118239,164246,13439,40224,103093,5301,699048,494615,155597,70800,5472513,26245,264643,79690,97171,5822,126314,4150876,0,113621,243547,54932,164756,165660,458196,604061,254797,186585,19787,160460,390480,303547,3761,94157,4665644,1838615,10338,977739,263125,1534683,34730,61392,306495,250393,293281,149802,3237958,20075,380778
2017-02-13,10512,415760,483807,177171,135317,1061521,201716,1992778,1138213,64442,27042,191428,1707298,467915,214840,33466,15305585,143900,14513,260874,3130096,79190,8299897,98150,319768,201184,2289937,70059,8513883,273702,12462574,67758,1816946,100742,370519,509070,181078,766452,510525,187493,256098,28976,28968,58967,12667,483793,246116,155200,78628,3872774,42513,156109,149768,73462,4163,500375,3634316,0,104996,261377,73286,175789,72231,383997,391019,363933,286572,46872,175900,402665,120294,4432,77784,3011675,1654276,7264,1007996,398609,1746100,36263,23643,150970,242017,503579,200798,2800219,36996,367808
